Name,City,State,Category,Population
"Shoreline, Washington",Shoreline, Washington,city,56189
"Everett, Washington",Everett, Washington,city,110079
"Burien, Washington",Burien, Washington,city,51671
"Manassas Park, Virginia",Manassas Park, Virginia,city,16591
"Fairfax, Virginia",Fairfax, Virginia,city,24097
"Big Stone Gap, Virginia",Big Stone Gap, Virginia,city,7725
"Waynesboro, Virginia",Waynesboro, Virginia,city,22327
"Lexington, Virginia",Lexington, Virginia,city,8841
"Winchester, Virginia",Winchester, Virginia,city,74031
"Orange, Virginia",Orange, Virginia,city,5169
"Strasburg, Virginia",Strasburg, Virginia,city,7255
"Radford, Virginia",Radford, Virginia,city,17658
"Richmond, Virginia",Richmond, Virginia,city,1059907
"Virginia Beach, Virginia",Virginia Beach, Virginia,city,1480383
"Herndon, Virginia",Herndon, Virginia,city,24532
"Chesapeake, Virginia",Chesapeake, Virginia,city,240397
"Purcellville, Virginia",Purcellville, Virginia,city,15112
"Covington, Virginia",Covington, Virginia,city,7822
"Charlottesville, Virginia",Charlottesville, Virginia,city,102016
"Smithfield, Virginia",Smithfield, Virginia,city,10551
"Norfolk, Virginia",Norfolk, Virginia,city,244703
"Dumfries, Virginia",Dumfries, Virginia,city,5230
"Petersburg, Virginia",Petersburg, Virginia,city,31750
"Falls Church, Virginia",Falls Church, Virginia,city,14583
"Rocky Mount, Virginia",Rocky Mount, Virginia,city,6004
"Galax, Virginia",Galax, Virginia,city,6505
"Farmville, Virginia",Farmville, Virginia,city,8577
"Martinsville, Virginia",Martinsville, Virginia,city,33363
"Danville, Virginia",Danville, Virginia,city,47135
"Manassas, Virginia",Manassas, Virginia,city,41501
"Suffolk, Virginia",Suffolk, Virginia,city,90237
"Harrisonburg, Virginia",Harrisonburg, Virginia,city,74023
"Fredericksburg, Virginia",Fredericksburg, Virginia,city,164976
"Warrenton, Virginia",Warrenton, Virginia,city,9875
"Marion, Virginia",Marion, Virginia,city,7547
"Broadway, Virginia",Broadway, Virginia,city,6547
"Bridgewater, Virginia",Bridgewater, Virginia,city,6062
"Culpeper, Virginia",Culpeper, Virginia,city,19986
"Vinton, Virginia",Vinton, Virginia,city,8065
"Blacksburg, Virginia",Blacksburg, Virginia,city,92573
"Portsmouth, Virginia",Portsmouth, Virginia,city,94572
"Newport News, Virginia",Newport News, Virginia,city,179388
"Salem, Virginia",Salem, Virginia,city,25862
"Leesburg, Virginia",Leesburg, Virginia,city,54215
"Pulaski, Virginia",Pulaski, Virginia,city,15496
"Staunton, Virginia",Staunton, Virginia,city,58470
"Wytheville, Virginia",Wytheville, Virginia,city,7024
"Bristol, Virginia",Bristol, Virginia,city,16790
"Ashland, Virginia",Ashland, Virginia,city,7796
"Hampton, Virginia",Hampton, Virginia,city,134669
